name;postal_code;country;parent_municipality_id;province
Aalst;9300;BE;3128;oost_vlaanderen
Gijzegem;9308;BE;3128;oost_vlaanderen
Hofstade;9308;BE;3128;oost_vlaanderen
Baardegem;9310;BE;3128;oost_vlaanderen
Herdersem;9310;BE;3128;oost_vlaanderen
Meldert;9310;BE;3128;oost_vlaanderen
Moorsel;9310;BE;3128;oost_vlaanderen
Erembodegem;9320;BE;3128;oost_vlaanderen
Nieuwerkerken;9320;BE;3128;oost_vlaanderen
Aalter;9880;BE;3137;oost_vlaanderen
Bellem;9881;BE;3137;oost_vlaanderen
Knesselare;9910;BE;3137;oost_vlaanderen
Lotenhulle;9880;BE;3137;oost_vlaanderen
Poeke;9880;BE;3137;oost_vlaanderen
Ursel;9910;BE;3137;oost_vlaanderen
Aarschot;3200;BE;3143;vlaams_brabant
Gelrode;3200;BE;3143;vlaams_brabant
Langdorp;3201;BE;3143;vlaams_brabant
Rillaar;3202;BE;3143;vlaams_brabant
Essene;1790;BE;4165;vlaams_brabant
Hekelgem;1790;BE;4165;vlaams_brabant
Teralfene;1790;BE;4165;vlaams_brabant
Alveringem;8690;BE;3150;west_vlaanderen
Hoogstade;8690;BE;3150;west_vlaanderen
Oeren;8690;BE;3150;west_vlaanderen
Sint-Rijkers;8690;BE;3150;west_vlaanderen
Beveren-aan-de-IJzer;8690;BE;3150;west_vlaanderen
Gijverinkhove;8691;BE;3150;west_vlaanderen
Izenberge;8691;BE;3150;west_vlaanderen
Leisele;8691;BE;3150;west_vlaanderen
Stavele;8691;BE;3150;west_vlaanderen
antwerpen;2000;BE;3159;antwerpen
Berendrecht-Zandvliet-Lillo;2000;BE;3159;antwerpen
Deurne;2100;BE;3159;antwerpen
Borgerhout;2140;BE;3159;antwerpen
Merksem;2170;BE;3159;antwerpen
Ekeren;2180;BE;3159;antwerpen
Berchem;2600;BE;3159;antwerpen
Wilrijk;2610;BE;3159;antwerpen
Hoboken;2660;BE;3159;antwerpen
Anzegem;8570;BE;3168;west_vlaanderen
Gijzelbrechtegem;8570;BE;3168;west_vlaanderen
Ingooigem;8570;BE;3168;west_vlaanderen
Vichte;8570;BE;3168;west_vlaanderen
Kaster;8572;BE;3168;west_vlaanderen
Tiegem;8573;BE;3168;west_vlaanderen
Ardooie;8850;BE;3174;west_vlaanderen
Koolskamp;8851;BE;3174;west_vlaanderen
As;3665;BE;3176;limburg
Niel-bij-As;3668;BE;3176;limburg
Asse;1730;BE;3178;vlaams_brabant
Bekkerzeel;1730;BE;3178;vlaams_brabant
Kobbegem;1730;BE;3178;vlaams_brabant
Mollem;1730;BE;3178;vlaams_brabant
Relegem;1731;BE;3178;vlaams_brabant
Zellik;1731;BE;3178;vlaams_brabant
Assenede;9960;BE;3184;oost_vlaanderen
Boekhoute;9961;BE;3184;oost_vlaanderen
Bassevelde;9968;BE;3184;oost_vlaanderen
Oosteeklo;9968;BE;3184;oost_vlaanderen
Avelgem;8580;BE;3188;west_vlaanderen
Kerkhove;8581;BE;3188;west_vlaanderen
Waarmaarde;8581;BE;3188;west_vlaanderen
Outrijve;8582;BE;3188;west_vlaanderen
Bossuit;8583;BE;3188;west_vlaanderen
Balen;2490;BE;3193;antwerpen
Olmen;2491;BE;3193;antwerpen
Beernem;8730;BE;3195;west_vlaanderen
Oedelem;8730;BE;3195;west_vlaanderen
Sint-Joris;8730;BE;3195;west_vlaanderen
Beerse;2340;BE;3198;antwerpen
Vlimmeren;2340;BE;3198;antwerpen
Beersel;1650;BE;3200;vlaams_brabant
Lot;1651;BE;3200;vlaams_brabant
Alsemberg;1652;BE;3200;vlaams_brabant
Dworp;1653;BE;3200;vlaams_brabant
